Feature,Importance Mean,Importance Std,Lead Group
I_beat_t_max,0.00023820054080817276,0.00023072184019214763,I
I_strip_max,0.00017540460376851973,0.004212484758706241,I
V4_strip_median,0.00017068609284805192,0.0045900299107186565,V4
aVL_strip_median,0.00012006449367944205,0.0007015007867432272,aVL
aVF_strip_q75,0.0001183541905587393,0.0027948789121661722,aVF
aVL_strip_zero_cross,8.735150244583434e-05,0.0001512972403536621,aVL
aVL_beat_t_max,8.610667663823957e-05,0.0009316607262067223,aVL
I_strip_q75,5.440215098365398e-05,0.0009787392860335885,I
V5_beat_pre_mean,2.4295808090651906e-05,0.0011986519628127456,V5
V5_strip_ptp,1.3843659631274096e-05,0.0007272597231923405,V5
V3_strip_rms,9.949862642105734e-07,0.00021153642077703826,V3
V3_strip_q75,0.0,0.0,V3
II_strip_mean,0.0,0.0,I
aVF_strip_median,0.0,0.0,aVF
V1_strip_energy,0.0,0.0,V1
V1_strip_median,0.0,0.0,V1
aVF_strip_energy,0.0,0.0,aVF
aVL_strip_rms,0.0,0.0,aVL
aVL_strip_energy,0.0,0.0,aVL
aVR_strip_max,0.0,0.0,aVR
aVF_strip_std,0.0,0.0,aVF
V4_beat_qrs_range,0.0,0.0,V4
V4_beat_s_min,0.0,0.0,V4
aVR_strip_kurtosis,0.0,0.0,aVR
aVR_strip_energy,0.0,0.0,aVR
V5_beat_r_amp,0.0,0.0,V5
V5_beat_qrs_range,0.0,0.0,V5
II_strip_rms,0.0,0.0,I
II_strip_energy,0.0,0.0,I
V3_strip_energy,0.0,0.0,V3
V4_strip_std,0.0,0.0,V4
V2_strip_zero_cross,0.0,0.0,V2
V3_strip_std,0.0,0.0,V3
I_beat_r_amp,0.0,0.0,I
V6_strip_zero_cross,0.0,0.0,V6
V2_strip_energy,0.0,0.0,V2
V4_strip_skew,0.0,0.0,V4
V1_beat_energy,0.0,0.0,V1
V2_beat_pre_mean,0.0,0.0,V2
V5_strip_energy,0.0,0.0,V5
V5_strip_q25,0.0,0.0,V5
aVF_beat_r_amp,0.0,0.0,aVF
aVF_beat_energy,0.0,0.0,aVF
aVF_beat_pre_mean,0.0,0.0,aVF
aVF_beat_st_slope,0.0,0.0,aVF
V6_strip_rms,0.0,0.0,V6
V6_strip_energy,0.0,0.0,V6
V6_strip_ptp,0.0,0.0,V6
V6_strip_median,0.0,0.0,V6
I_beat_area,0.0,0.0,I
I_beat_pre_mean,0.0,0.0,I
II_beat_r_amp,0.0,0.0,I
I_beat_st_mean,0.0,0.0,I
I_beat_qrs_range,0.0,0.0,I
III_strip_skew,0.0,0.0,I
III_strip_energy,0.0,0.0,I
III_strip_rms,0.0,0.0,I
II_beat_st_slope,0.0,0.0,I
II_beat_t_mean,0.0,0.0,I
II_beat_area,0.0,0.0,I
II_beat_energy,0.0,0.0,I
III_beat_q_min,0.0,0.0,I
